basin.id,trend_km3PerYr,basinName,scenario,model
55,-0.10202294421708707,Adriatic Sea - Greece - Black Sea Coast,hi,watergap
171,-0.47562696132110543,"Africa, East Central Coast",hi,watergap
190,-0.30507836368827407,"Africa, Indian Ocean Coast",hi,watergap
144,-2.0730830298211904,"Africa, North Interior",hi,watergap
86,-2.052088452072634,"Africa, North West Coast",hi,watergap
100,-0.01471925582279435,"Africa, Red Sea - Gulf of Aden Coast",hi,watergap
197,1.5605674877609208,"Africa, South Interior",hi,watergap
142,-1.8642656650281777,"Africa, West Coast",hi,watergap
168,2.4375596987294745,Amazon,hi,watergap
58,-0.13471819903777205,Amu Darya,hi,watergap
43,0.23109976855150355,Amur,hi,watergap
141,-0.006843727807551405,Andaman - Nicobar Islands,hi,watergap
182,1.229450433950049,"Angola, Coast",hi,watergap
216,0,Antarctica,hi,watergap
94,-9.736543247214458,Arabian Peninsula,hi,watergap
104,-0.6772418002758948,Arabian Sea Coast,hi,watergap
1,-0.13132120251102752,Arctic Ocean Islands,hi,watergap
224,-4.716670939084849,Arkansas White Red Basin,hi,watergap
19,0.4487038762488458,Atlantic Ocean Seaboard,hi,watergap
189,0.20117267906615627,"Australia, East Coast",hi,watergap
193,-1.9376957123447955,"Australia, Interior",hi,watergap
184,-1.1639433644533348,"Australia, North Coast",hi,watergap
202,-0.01780550913810539,"Australia, South Coast",hi,watergap
191,-0.06360223051987995,"Australia, West Coast",hi,watergap
91,-0.6637633322498271,Baja California,hi,watergap
20,0.13807695444313575,Baltic Sea Coast,hi,watergap
116,-0.13027761481761532,"Bay of Bengal, North East Coast",hi,watergap
47,-0.10800784183922005,"Black Sea, North Coast",hi,watergap
70,-0.06773694528924709,"Black Sea, South Coast",hi,watergap
66,-2.625358564791797,"Bo Hai - Korean Bay, North Coast",hi,watergap
120,0.09025370458170977,Brahamani,hi,watergap
217,-5.916120951741995,California River Basin,hi,watergap
101,-0.8171612888410239,Caribbean,hi,watergap
